time_sec,chan1_rms,chan1_energy
7.0250,0.000444,0.000079
7.0500,0.000444,0.000079
7.0750,0.000448,0.000080
7.1000,0.000445,0.000079
7.1250,0.000448,0.000080
7.1500,0.000445,0.000079
7.1750,0.000453,0.000082
7.2000,0.000447,0.000080
7.2250,0.000447,0.000080
7.2500,0.000452,0.000082
7.2750,0.000450,0.000081
7.3000,0.000452,0.000082
7.3250,0.000449,0.000081
7.3500,0.000445,0.000079
7.3750,0.000445,0.000079
7.4000,0.000448,0.000080
7.4250,0.000445,0.000079
7.4500,0.000449,0.000081
7.4750,0.000448,0.000080
7.5000,0.000447,0.000080
7.5250,0.000448,0.000080
7.5500,0.000448,0.000080
7.5750,0.000448,0.000080
7.6000,0.000448,0.000080
7.6250,0.000445,0.000079
7.6500,0.000444,0.000079
7.6750,0.000447,0.000080
7.7000,0.000446,0.000080
7.7250,0.000447,0.000080
7.7500,0.000451,0.000081
7.7750,0.000447,0.000080
7.8000,0.000447,0.000080
7.8250,0.000447,0.000080
7.8500,0.000447,0.000080
7.8750,0.000447,0.000080
7.9000,0.000447,0.000080
7.9250,0.000445,0.000079
7.9500,0.000451,0.000081
7.9750,0.000446,0.000079
8.0000,0.000448,0.000080
8.0250,0.000453,0.000082
8.0500,0.000450,0.000081
8.0750,0.000453,0.000082
8.1000,0.000445,0.000079
8.1250,0.000444,0.000079
8.1500,0.000446,0.000080
8.1750,0.000444,0.000079
8.2000,0.000447,0.000080
8.2250,0.000447,0.000080
8.2500,0.000446,0.000080
8.2750,0.000447,0.000080
8.3000,0.000453,0.000082
8.3250,0.000453,0.000082
8.3500,0.000449,0.000080
8.3750,0.000452,0.000082
8.4000,0.000448,0.000080
8.4250,0.000446,0.000080
8.4500,0.000446,0.000079
8.4750,0.000446,0.000079
8.5000,0.000449,0.000081
8.5250,0.000451,0.000081
8.5500,0.000446,0.000079
8.5750,0.000447,0.000080
8.6000,0.000447,0.000080
8.6250,0.000447,0.000080
8.6500,0.000450,0.000081
8.6750,0.000451,0.000081
8.7000,0.000451,0.000081
8.7250,0.000450,0.000081
8.7500,0.000450,0.000081
8.7750,0.000448,0.000080
8.8000,0.000446,0.000079
8.8250,0.000445,0.000079
8.8500,0.000450,0.000081
8.8750,0.000448,0.000080
8.9000,0.000448,0.000080
8.9250,0.000453,0.000082
8.9500,0.000453,0.000082
8.9750,0.000452,0.000082
9.0000,0.000447,0.000080
9.0250,0.000453,0.000082
9.0500,0.000454,0.000082
9.0750,0.000448,0.000080
9.1000,0.000446,0.000080
9.1250,0.000447,0.000080
9.1500,0.000447,0.000080
9.1750,0.000450,0.000081
9.2000,0.000450,0.000081
9.2250,0.000444,0.000079
9.2500,0.000446,0.000080
9.2750,0.000441,0.000078
9.3000,0.000448,0.000080
9.3250,0.000442,0.000078
9.3500,0.000447,0.000080
9.3750,0.000449,0.000081
9.4000,0.000449,0.000080
9.4250,0.000447,0.000080
9.4500,0.000447,0.000080
9.4750,0.000442,0.000078
9.5000,0.000446,0.000079
9.5250,0.000450,0.000081
9.5500,0.000447,0.000080
9.5750,0.000442,0.000078
9.6000,0.000450,0.000081
9.6250,0.000448,0.000080
9.6500,0.000447,0.000080
9.6750,0.000445,0.000079
9.7000,0.000450,0.000081
9.7250,0.000440,0.000078
9.7500,0.000455,0.000083
9.7750,0.000449,0.000081
9.8000,0.000442,0.000078
9.8250,0.000445,0.000079
9.8500,0.000445,0.000079
9.8750,0.000446,0.000080
9.9000,0.000448,0.000080
9.9250,0.000446,0.000080
9.9500,0.000450,0.000081
9.9750,0.000447,0.000080
10.0000,0.000446,0.000080
10.0250,0.000450,0.000081
10.0500,0.000451,0.000081
10.0750,0.000451,0.000082
10.1000,0.000452,0.000082
10.1250,0.000450,0.000081
10.1500,0.000448,0.000080
10.1750,0.000443,0.000079
10.2000,0.000450,0.000081
10.2250,0.000447,0.000080
10.2500,0.000449,0.000081
10.2750,0.000449,0.000081
10.3000,0.000443,0.000079
10.3250,0.000452,0.000082
10.3500,0.000445,0.000079
10.3750,0.000450,0.000081
10.4000,0.000445,0.000079
10.4250,0.000454,0.000082
10.4500,0.000440,0.000077
10.4750,0.000452,0.000082
10.5000,0.000449,0.000081
10.5250,0.000449,0.000081
10.5500,0.000448,0.000080
10.5750,0.000451,0.000082
10.6000,0.000445,0.000079
10.6250,0.000450,0.000081
10.6500,0.000449,0.000081
10.6750,0.000446,0.000080
10.7000,0.000444,0.000079
10.7250,0.000443,0.000078
10.7500,0.000446,0.000080
10.7750,0.000445,0.000079
10.8000,0.000453,0.000082
10.8250,0.000445,0.000079
10.8500,0.000454,0.000083
10.8750,0.000451,0.000082
10.9000,0.000453,0.000082
10.9250,0.000452,0.000082
10.9500,0.000447,0.000080
10.9750,0.000446,0.000079
11.0000,0.000449,0.000081
11.0250,0.000452,0.000082
11.0500,0.000444,0.000079
11.0750,0.000444,0.000079
11.1000,0.000448,0.000080
11.1250,0.000453,0.000082
11.1500,0.000450,0.000081
11.1750,0.000452,0.000082
11.2000,0.000450,0.000081
11.2250,0.000444,0.000079
11.2500,0.000447,0.000080
11.2750,0.000447,0.000080
11.3000,0.000447,0.000080
11.3250,0.000446,0.000079
11.3500,0.000448,0.000080
11.3750,0.000450,0.000081
11.4000,0.000452,0.000082
11.4250,0.000447,0.000080
